Frequency (Hz)	Level (dB)
279.785156	-75.248993
280.517578	-77.674057
281.250000	-79.685707
281.982422	-79.720688
282.714844	-80.979462
283.447266	-80.218468
284.179688	-79.303146
284.912109	-79.388344
285.644531	-79.169594
286.376953	-79.977295
287.109375	-80.037285
287.841797	-80.946213
288.574219	-81.652321
289.306641	-80.903366
290.039063	-80.558990
290.771484	-81.461227
291.503906	-83.339195
292.236328	-84.281372
292.968750	-81.728981
293.701172	-78.947281
294.433594	-78.281563
295.166016	-79.983910
295.898438	-82.220436
296.630859	-83.062149
297.363281	-80.620262
298.095703	-80.887543
298.828125	-80.755836
299.560547	-80.647804
300.292969	-82.998230
301.025391	-80.506248
301.757813	-73.094933
302.490234	-70.492249
303.222656	-74.902031
303.955078	-80.355469
304.687500	-81.843483
305.419922	-82.838913
306.152344	-80.398804
306.884766	-81.350868
307.617188	-80.432091
308.349609	-79.591431
309.082031	-79.876793
309.814453	-81.845322
310.546875	-82.517349
311.279297	-80.520119
312.011719	-80.275162
312.744141	-78.954277
313.476563	-75.983398
314.208984	-75.465370
314.941406	-76.486237
315.673828	-77.013969
316.406250	-79.037170
317.138672	-81.345367
317.871094	-79.129089
318.603516	-77.583069
319.335938	-75.765022
320.068359	-72.929253
320.800781	-72.663979
321.533203	-74.589035
322.265625	-77.427391
322.998047	-77.716057
323.730469	-78.064735
324.462891	-80.919640
325.195313	-79.334290
325.927734	-76.697479
326.660156	-78.060371
327.392578	-75.442696
328.125000	-74.166389
328.857422	-73.414040
329.589844	-73.833115
330.322266	-76.333839
331.054688	-76.998177
331.787109	-77.278122
332.519531	-76.115982
333.251953	-75.520744
333.984375	-76.033272
334.716797	-75.911140
335.449219	-76.535507
336.181641	-78.513206
336.914063	-80.193924
337.646484	-79.846153
338.378906	-78.190849
339.111328	-78.279533
339.843750	-79.113396
340.576172	-79.554535
341.308594	-78.067863
342.041016	-77.496780
342.773438	-75.688797
343.505859	-76.449867
344.238281	-71.456093
344.970703	-65.507973
345.703125	-62.790665
346.435547	-67.756172
347.167969	-76.410698
347.900391	-76.839264
348.632813	-79.213158
349.365234	-79.522636
350.097656	-77.771652
350.830078	-78.765686
351.562500	-78.101364
352.294922	-76.245804
353.027344	-77.893738
353.759766	-78.143906
354.492188	-76.243797
355.224609	-77.501015
355.957031	-79.562805
356.689453	-76.649445
357.421875	-76.258598
358.154297	-78.576820
358.886719	-77.027832
359.619141	-76.940872
360.351563	-78.990021
361.083984	-77.960396
361.816406	-76.055138
362.548828	-75.373413
363.281250	-77.232162
364.013672	-77.747246
364.746094	-76.616096
365.478516	-77.120827
366.210938	-77.442352
366.943359	-75.282043
367.675781	-75.235764
368.408203	-75.845825
369.140625	-76.775375
369.873047	-76.332657
370.605469	-76.043411
371.337891	-76.197746
372.070313	-79.396782
372.802734	-78.665459
373.535156	-78.944168
374.267578	-79.357368
375.000000	-77.713860
375.732422	-77.630600
376.464844	-79.154480
377.197266	-76.980576
377.929688	-77.345116
378.662109	-76.268295
379.394531	-74.726997
380.126953	-74.191757
380.859375	-75.841713
381.591797	-76.176010
382.324219	-74.431877
383.056641	-74.155907
383.789063	-74.811478
384.521484	-74.661842
385.253906	-76.495079
385.986328	-76.214531
386.718750	-74.175568
387.451172	-70.952316
388.183594	-65.716713
388.916016	-64.662186
389.648438	-66.930023
390.380859	-72.504150
391.113281	-76.110947
391.845703	-75.191978
392.578125	-77.849258
393.310547	-74.704590
394.042969	-73.941002
394.775391	-75.379478
395.507813	-73.567398
396.240234	-75.868942
396.972656	-77.082878
397.705078	-75.145615
398.437500	-76.658890
399.169922	-79.356697
399.902344	-76.411606
400.634766	-75.831993
401.367188	-74.693436
402.099609	-76.913605
402.832031	-77.014511
403.564453	-78.995483
404.296875	-77.020210
405.029297	-75.984001
405.761719	-76.970276
406.494141	-80.511726
407.226563	-76.187927
407.958984	-74.237007
408.691406	-75.924057
409.423828	-78.946861
410.156250	-77.996346
410.888672	-77.964828
411.621094	-78.982994
412.353516	-78.008087
413.085938	-76.913734
413.818359	-77.169098
414.550781	-75.595222
415.283203	-75.761444
416.015625	-76.180130
416.748047	-77.255135
417.480469	-78.904434
418.212891	-81.253967
418.945313	-80.013420
419.677734	-77.326035
420.410156	-75.746819
421.142578	-76.126236
421.875000	-77.689507
422.607422	-75.405273
423.339844	-76.468605
424.072266	-77.387123
424.804688	-76.949966
425.537109	-74.544098
426.269531	-75.775818
427.001953	-78.296593
427.734375	-69.741379
428.466797	-66.939255
429.199219	-66.378151
429.931641	-63.428814
430.664063	-57.207401
431.396484	-55.640865
432.128906	-55.065269
432.861328	-54.936192
433.593750	-58.050606
434.326172	-63.225132
435.058594	-65.202667
435.791016	-70.081207
436.523438	-74.471916
437.255859	-74.971786
437.988281	-75.461143
438.720703	-76.931984
439.453125	-75.802986
440.185547	-77.282761
440.917969	-76.912987
441.650391	-78.093094
442.382813	-78.421638
443.115234	-80.641541
443.847656	-80.239075
444.580078	-80.226791
445.312500	-80.811348
446.044922	-79.470169
446.777344	-79.574226
447.509766	-81.254402
448.242188	-83.599197
448.974609	-83.400246
449.707031	-80.837975
450.439453	-79.732422
451.171875	-80.209259
451.904297	-80.563690
452.636719	-82.321625
453.369141	-81.006119
454.101563	-80.300835
454.833984	-79.670555
455.566406	-78.969963
456.298828	-79.852997
457.031250	-80.493462
457.763672	-80.603104
458.496094	-79.896141
459.228516	-82.809776
459.960938	-80.489662
460.693359	-80.488701
461.425781	-79.555138
462.158203	-79.608101
462.890625	-80.917442
463.623047	-80.770027
464.355469	-81.114304
465.087891	-80.360252
465.820313	-78.170624
466.552734	-80.579788
467.285156	-79.761261
468.017578	-78.213669
468.750000	-79.220200
469.482422	-79.570663
470.214844	-78.363403
470.947266	-79.600929
471.679688	-81.083916
472.412109	-79.424545
473.144531	-75.680351
473.876953	-66.168655
474.609375	-61.255169
475.341797	-59.124142
476.074219	-62.426712
476.806641	-70.078308
477.539063	-74.758591
478.271484	-78.423409
479.003906	-79.695015
479.736328	-80.071953
480.468750	-80.702271
481.201172	-83.273773
481.933594	-82.678658
482.666016	-81.651077
483.398438	-82.646301
484.130859	-83.119286
484.863281	-82.641869
485.595703	-80.764557
486.328125	-79.939728
487.060547	-81.116425
487.792969	-79.630104
488.525391	-82.154938
489.257813	-82.709290
489.990234	-80.181831
490.722656	-81.116966
491.455078	-82.061234
492.187500	-81.238747
492.919922	-80.915131
493.652344	-82.288567
494.384766	-83.782944
495.117188	-83.074692
495.849609	-83.017372
496.582031	-82.432495
497.314453	-83.290474
498.046875	-81.845818
498.779297	-81.357643
499.511719	-82.650322
500.244141	-83.042572
500.976563	-81.722931
501.708984	-81.638573
502.441406	-81.573700
503.173828	-82.336258
503.906250	-83.399490
504.638672	-82.856491
505.371094	-82.203835
506.103516	-83.598473
506.835938	-82.874321
507.568359	-80.796516
508.300781	-80.728622
509.033203	-82.052315
509.765625	-81.412552
510.498047	-82.686684
511.230469	-81.549057
511.962891	-83.138687
512.695313	-84.130569
513.427734	-78.501648
514.160156	-77.015877
514.892578	-78.353523
515.625000	-73.199730
516.357422	-66.755203
517.089844	-56.666004
517.822266	-52.249966
518.554688	-51.328678
519.287109	-54.492901
520.019531	-62.046452
520.751953	-68.600227
521.484375	-73.698372
522.216797	-78.158501
522.949219	-77.236786
523.681641	-79.690567
524.414063	-82.191811
525.146484	-80.946175
525.878906	-80.592323
526.611328	-81.721581
527.343750	-82.846275
528.076172	-81.016678
528.808594	-78.344040
529.541016	-79.229294
530.273438	-79.512444
531.005859	-77.623672
531.738281	-79.079849
532.470703	-80.147743
533.203125	-80.764412
533.935547	-81.589691
534.667969	-80.768723
535.400391	-78.961334
536.132813	-80.159149
536.865234	-79.208405
537.597656	-78.734222
538.330078	-79.692093
539.062500	-80.239792
539.794922	-79.798172
540.527344	-78.520126
541.259766	-78.370575
541.992188	-80.021019
542.724609	-78.147263
543.457031	-78.752426
544.189453	-80.101585
544.921875	-79.352776
545.654297	-79.449005
546.386719	-80.542694
547.119141	-80.143776
547.851563	-81.281502
548.583984	-80.857170
549.316406	-79.777481
550.048828	-79.415695
550.781250	-80.225060
551.513672	-81.456039
552.246094	-81.000801
552.978516	-80.063530
553.710938	-78.583023
554.443359	-78.014809
555.175781	-80.082733
555.908203	-80.927971
556.640625	-80.899956
557.373047	-78.793182
558.105469	-75.841011
558.837891	-73.359390
559.570313	-65.093376
560.302734	-55.984043
561.035156	-51.990910
561.767578	-50.612305
562.500000	-53.077049
563.232422	-60.306335
563.964844	-66.659187
564.697266	-71.586784
565.429688	-74.577332
566.162109	-75.680428
566.894531	-78.632568
567.626953	-81.746422
568.359375	-80.376434
569.091797	-78.057091
569.824219	-76.596573
570.556641	-77.033180
571.289063	-75.824020
572.021484	-77.412239
572.753906	-80.669258
573.486328	-79.807678
574.218750	-80.473579
574.951172	-80.015396
575.683594	-81.226730
576.416016	-79.738106
577.148438	-79.125893
577.880859	-78.475067
578.613281	-77.962700
579.345703	-79.028053
580.078125	-78.236954
580.810547	-79.591835
581.542969	-82.158699
582.275391	-81.760101
583.007813	-77.358704
583.740234	-78.317627
584.472656	-79.567398
585.205078	-78.870895
585.937500	-78.251984
586.669922	-76.708916
587.402344	-79.410233
588.134766	-78.822075
588.867188	-77.014992
589.599609	-75.662750
590.332031	-75.820702
591.064453	-78.612175
591.796875	-74.743439
592.529297	-75.568756
593.261719	-75.162560
593.994141	-75.031021
594.726563	-80.007729
595.458984	-77.565002
596.191406	-74.686150
596.923828	-73.245438
597.656250	-73.100456
598.388672	-73.559250
599.121094	-73.016815
599.853516	-70.956139
600.585938	-69.318283
601.318359	-64.923019
602.050781	-60.438202
602.783203	-52.745964
603.515625	-44.864723
604.248047	-42.088863
604.980469	-41.099411
605.712891	-43.433159
606.445313	-50.106731
607.177734	-56.904400
607.910156	-62.569324
608.642578	-67.582741
609.375000	-68.466682
610.107422	-70.332596
610.839844	-71.671761
611.572266	-74.167969
612.304688	-74.926094
613.037109	-74.471672
613.769531	-72.729446
614.501953	-71.813766
615.234375	-72.541313
615.966797	-73.742516
616.699219	-74.998894
617.431641	-75.258904
618.164063	-73.152428
618.896484	-72.235497
619.628906	-73.090599
620.361328	-71.838936
621.093750	-72.980530
621.826172	-76.268974
622.558594	-75.254875
623.291016	-74.544304
624.023438	-74.707130
624.755859	-74.090279
625.488281	-74.097687
626.220703	-74.295769
626.953125	-74.157417
627.685547	-73.793037
628.417969	-74.960121
629.150391	-74.333702
629.882813	-72.263901
630.615234	-72.003883
631.347656	-71.555679
632.080078	-70.919434
632.812500	-72.425331
633.544922	-72.719345
634.277344	-70.275116
635.009766	-69.870674
635.742188	-72.210785
636.474609	-71.560631
637.207031	-70.999825
637.939453	-69.806114
638.671875	-68.927643
639.404297	-70.824165
640.136719	-70.483917
640.869141	-70.231140
641.601563	-71.144493
642.333984	-66.019424
643.066406	-62.498447
643.798828	-59.170708
644.531250	-58.094517
645.263672	-58.593990
645.996094	-57.313786
646.728516	-52.327209
647.460938	-49.657429
648.193359	-49.642696
648.925781	-51.869598
649.658203	-57.496868
650.390625	-62.039570
651.123047	-65.375046
651.855469	-67.468521
652.587891	-70.648590
653.320313	-69.548477
654.052734	-68.250076
654.785156	-70.504936
655.517578	-72.355347
656.250000	-71.876801
656.982422	-75.017159
657.714844	-76.058510
658.447266	-75.922478
659.179688	-76.123230
659.912109	-78.297035
660.644531	-74.537544
661.376953	-72.625168
662.109375	-74.777794
662.841797	-75.970573
663.574219	-75.314224
664.306641	-75.439278
665.039063	-76.160500
665.771484	-76.928940
666.503906	-77.162811
667.236328	-75.309433
667.968750	-77.061920
668.701172	-78.617554
669.433594	-75.387665
670.166016	-75.398476
670.898438	-75.496643
671.630859	-76.178261
672.363281	-76.649521
673.095703	-77.257706
673.828125	-77.210381
674.560547	-76.696167
675.292969	-76.484283
676.025391	-78.159935
676.757813	-76.733849
677.490234	-76.419731
678.222656	-76.552345
678.955078	-76.719086
679.687500	-75.921844
680.419922	-76.852356
681.152344	-75.907562
681.884766	-76.777855
682.617188	-76.912674
683.349609	-76.462852
684.082031	-78.348045
684.814453	-76.422585
685.546875	-75.734520
686.279297	-77.825645
687.011719	-73.518250
687.744141	-70.244347
688.476563	-67.000458
689.208984	-58.644310
689.941406	-51.682442
690.673828	-49.511074
691.406250	-49.134972
692.138672	-50.896385
692.871094	-56.345104
693.603516	-62.510624
694.335938	-66.907867
695.068359	-70.288612
695.800781	-72.675369
696.533203	-72.520386
697.265625	-72.462852
697.998047	-72.025528
698.730469	-71.198212
699.462891	-72.427551
700.195313	-71.636002
700.927734	-73.751221
701.660156	-73.971336
702.392578	-72.797096
703.125000	-71.283623
703.857422	-72.228172
704.589844	-74.002602
705.322266	-72.364197
706.054688	-72.736198
706.787109	-75.374138
707.519531	-73.951622
708.251953	-72.079079
708.984375	-70.335884
709.716797	-70.422195
710.449219	-72.971245
711.181641	-73.853432
711.914063	-74.000267
712.646484	-72.064423
713.378906	-70.599785
714.111328	-72.424530
714.843750	-74.780281
715.576172	-71.716507
716.308594	-72.275925
717.041016	-73.700180
717.773438	-73.612396
718.505859	-72.962875
719.238281	-73.736794
719.970703	-74.130379
720.703125	-76.082825
721.435547	-77.812286
722.167969	-75.505013
722.900391	-74.532921
723.632813	-74.413345
724.365234	-73.268883
725.097656	-74.482216
725.830078	-74.750519
726.562500	-74.259369
727.294922	-73.622177
728.027344	-74.434090
728.759766	-74.896439
729.492188	-76.350754
730.224609	-74.292519
730.957031	-71.748093
731.689453	-67.650146
732.421875	-63.258217
733.154297	-59.015831
733.886719	-58.936523
734.619141	-58.441078
735.351563	-60.016651
736.083984	-65.559357
736.816406	-70.050278
737.548828	-74.450485
738.281250	-76.458641
739.013672	-75.963501
739.746094	-77.463669
740.478516	-78.375206
741.210938	-77.839745
741.943359	-78.734344
742.675781	-77.119652
743.408203	-75.333305
744.140625	-77.861450
744.873047	-78.940033
745.605469	-78.715721
746.337891	-80.125244
747.070313	-77.853951
747.802734	-77.641907
748.535156	-76.378448
749.267578	-75.945709
750.000000	-76.847145
750.732422	-75.855057
751.464844	-75.984825
752.197266	-78.918411
752.929688	-78.590958
753.662109	-79.549507
754.394531	-80.651413
755.126953	-80.410362
755.859375	-78.515358
756.591797	-80.412918
757.324219	-81.644775
758.056641	-80.688721
758.789063	-79.085640
759.521484	-78.266106
760.253906	-79.063263
760.986328	-76.508194
761.718750	-75.881645
762.451172	-75.985268
763.183594	-76.091476
763.916016	-77.837860
764.648438	-74.469833
765.380859	-73.871948
766.113281	-74.356979
766.845703	-74.518028
767.578125	-72.316803
768.310547	-71.675400
769.042969	-72.658058
769.775391	-74.146416
770.507813	-76.323318
771.240234	-75.556900
771.972656	-73.988548
772.705078	-73.414368
773.437500	-73.736839
774.169922	-70.447281
774.902344	-66.517769
775.634766	-58.297295
776.367188	-53.250660
777.099609	-51.722195
777.832031	-50.996311
778.564453	-52.027733
779.296875	-56.160595
780.029297	-62.123257
780.761719	-67.154587
781.494141	-71.775146
782.226563	-71.994911
782.958984	-74.560265
783.691406	-75.550903
784.423828	-73.086113
785.156250	-72.860924
785.888672	-73.936882
786.621094	-73.265907
787.353516	-73.642464
788.085938	-73.757133
788.818359	-74.246689
789.550781	-74.538887
790.283203	-73.413895
791.015625	-74.980606
791.748047	-76.445213
792.480469	-74.114044
793.212891	-75.072289
793.945313	-74.466927
794.677734	-75.592201
795.410156	-78.518394
796.142578	-77.914322
796.875000	-76.373291
797.607422	-76.793968
798.339844	-78.499962
799.072266	-79.116821
799.804688	-78.349106
800.537109	-75.921669
801.269531	-74.926208
802.001953	-77.940681
802.734375	-76.367760
803.466797	-74.622337
804.199219	-75.248665
