Frequency (Hz)	Level (dB)
396.240234	-87.458054
396.972656	-84.876877
397.705078	-84.578056
398.437500	-84.487465
399.169922	-83.756905
399.902344	-82.271004
400.634766	-81.760658
401.367188	-83.705070
402.099609	-82.864967
402.832031	-81.350395
403.564453	-77.079681
404.296875	-63.196907
405.029297	-59.992645
405.761719	-56.477249
406.494141	-55.345207
407.226563	-62.420486
407.958984	-78.348831
408.691406	-84.111191
409.423828	-85.552437
410.156250	-82.840828
410.888672	-83.253059
411.621094	-83.757034
412.353516	-83.220261
413.085938	-86.164055
413.818359	-87.731880
414.550781	-87.233223
415.283203	-83.963562
416.015625	-83.813690
416.748047	-83.522743
417.480469	-83.037445
418.212891	-83.464714
418.945313	-84.173592
419.677734	-83.769547
420.410156	-86.020027
421.142578	-83.429794
421.875000	-82.878113
422.607422	-81.729805
423.339844	-82.694572
424.072266	-83.458420
424.804688	-81.681923
425.537109	-82.919914
426.269531	-82.233170
427.001953	-83.291130
427.734375	-82.629608
428.466797	-82.735703
429.199219	-82.238571
429.931641	-81.875404
430.664063	-83.290253
431.396484	-85.417831
432.128906	-83.782295
432.861328	-84.950493
433.593750	-85.616501
434.326172	-83.953621
435.058594	-84.334297
435.791016	-86.260445
436.523438	-86.366272
437.255859	-83.888443
437.988281	-71.259933
438.720703	-68.949333
439.453125	-72.232315
440.185547	-70.855606
440.917969	-75.649071
441.650391	-85.288124
442.382813	-85.827759
443.115234	-86.131615
443.847656	-84.525986
444.580078	-85.762680
445.312500	-85.853302
446.044922	-86.817345
446.777344	-89.018684
447.509766	-87.767975
448.242188	-88.245750
448.974609	-89.854797
449.707031	-88.824310
450.439453	-87.745178
451.171875	-91.312653
451.904297	-89.499176
452.636719	-86.527763
453.369141	-85.419556
454.101563	-84.823540
454.833984	-86.109360
455.566406	-85.872551
456.298828	-85.243935
457.031250	-87.466072
457.763672	-87.671364
458.496094	-87.671295
459.228516	-85.920357
459.960938	-84.834785
460.693359	-84.787323
461.425781	-82.913498
462.158203	-82.022293
462.890625	-81.190483
463.623047	-82.198578
464.355469	-79.977875
465.087891	-77.202682
465.820313	-78.515404
466.552734	-79.662422
467.285156	-77.779808
468.017578	-79.660332
468.750000	-79.617409
469.482422	-75.250397
470.214844	-73.201309
470.947266	-62.792404
471.679688	-46.440102
472.412109	-43.039291
473.144531	-43.272079
473.876953	-40.219021
474.609375	-43.134716
475.341797	-54.442345
476.074219	-65.393227
476.806641	-69.097626
477.539063	-74.820313
478.271484	-79.749062
479.003906	-79.446175
479.736328	-79.859772
480.468750	-81.930855
481.201172	-83.414375
481.933594	-84.565430
482.666016	-84.979332
483.398438	-85.848373
484.130859	-88.537636
484.863281	-88.092865
485.595703	-86.956863
486.328125	-86.938141
487.060547	-84.184845
487.792969	-84.575768
488.525391	-85.869156
489.257813	-86.175064
489.990234	-86.234230
490.722656	-85.367622
491.455078	-86.520035
492.187500	-88.837776
492.919922	-86.307953
493.652344	-86.994461
494.384766	-88.968765
495.117188	-91.367386
495.849609	-90.216652
496.582031	-88.324982
497.314453	-88.830887
498.046875	-87.173836
498.779297	-89.095963
499.511719	-88.850677
500.244141	-86.728058
500.976563	-86.743950
501.708984	-84.606445
502.441406	-85.957443
503.173828	-90.270630
503.906250	-87.421127
504.638672	-81.382874
505.371094	-65.822220
506.103516	-62.164108
506.835938	-64.128738
507.568359	-60.798683
508.300781	-62.332451
509.033203	-71.119247
509.765625	-81.281631
510.498047	-83.279640
511.230469	-83.743774
511.962891	-86.001106
512.695313	-86.102943
513.427734	-84.471222
514.160156	-82.702560
514.892578	-84.980408
515.625000	-86.294098
516.357422	-86.347733
517.089844	-85.587822
517.822266	-88.127716
518.554688	-89.346695
519.287109	-87.590187
520.019531	-86.016731
520.751953	-85.932068
521.484375	-88.411224
522.216797	-88.477592
522.949219	-90.634659
523.681641	-86.963089
524.414063	-87.284698
525.146484	-87.967941
525.878906	-87.182793
526.611328	-86.077682
527.343750	-86.616096
528.076172	-86.398399
528.808594	-85.206055
529.541016	-85.673973
530.273438	-86.079399
531.005859	-85.255722
531.738281	-85.596535
532.470703	-86.694199
533.203125	-86.840248
533.935547	-87.485481
534.667969	-88.535461
535.400391	-88.358688
536.132813	-89.105286
536.865234	-90.411530
537.597656	-88.429100
538.330078	-88.826714
539.062500	-75.670082
539.794922	-71.664162
540.527344	-75.816788
541.259766	-75.475616
541.992188	-76.650978
542.724609	-83.009636
543.457031	-88.263756
544.189453	-88.617432
544.921875	-87.576935
545.654297	-89.012741
546.386719	-92.299660
547.119141	-91.911476
547.851563	-90.336189
548.583984	-87.847176
549.316406	-89.381699
550.048828	-89.404343
550.781250	-88.602997
551.513672	-88.136124
552.246094	-88.203133
552.978516	-87.983551
553.710938	-87.766365
554.443359	-88.644341
555.175781	-88.736374
555.908203	-88.618904
556.640625	-88.736313
557.373047	-90.150932
558.105469	-92.359749
558.837891	-88.672188
559.570313	-89.723114
560.302734	-92.113434
561.035156	-89.076347
561.767578	-87.805740
562.500000	-88.485954
563.232422	-91.316116
563.964844	-91.930641
564.697266	-90.621597
565.429688	-91.557159
566.162109	-90.795097
566.894531	-90.578583
567.626953	-91.704643
568.359375	-92.669479
569.091797	-92.868629
569.824219	-90.969521
570.556641	-88.040810
571.289063	-90.249641
572.021484	-90.319481
572.753906	-78.855446
573.486328	-73.892220
574.218750	-75.137604
574.951172	-70.125626
575.683594	-68.476799
576.416016	-72.496704
577.148438	-82.123520
577.880859	-85.392166
578.613281	-85.551773
579.345703	-85.846588
580.078125	-85.387779
580.810547	-84.657906
581.542969	-84.221649
582.275391	-81.867897
583.007813	-85.795105
583.740234	-92.432106
584.472656	-89.748657
585.205078	-87.421677
585.937500	-86.934319
586.669922	-88.184090
587.402344	-86.746658
588.134766	-86.157913
588.867188	-87.198975
589.599609	-88.926201
590.332031	-88.744858
591.064453	-89.417732
591.796875	-88.010437
592.529297	-88.685753
593.261719	-90.010414
593.994141	-89.024872
594.726563	-87.742371
595.458984	-86.318207
596.191406	-86.228973
596.923828	-87.082825
597.656250	-85.678101
598.388672	-85.434059
599.121094	-86.553795
599.853516	-85.616188
600.585938	-84.409515
601.318359	-85.336914
602.050781	-86.341141
602.783203	-86.068657
603.515625	-86.495422
604.248047	-86.939171
604.980469	-89.450218
605.712891	-87.621635
606.445313	-75.447937
607.177734	-70.691025
607.910156	-74.211472
608.642578	-71.060776
609.375000	-69.038948
610.107422	-71.624680
610.839844	-81.266220
611.572266	-87.408882
612.304688	-87.857643
613.037109	-88.056511
613.769531	-86.791901
614.501953	-84.849449
615.234375	-87.503906
615.966797	-87.260231
616.699219	-88.110161
617.431641	-88.577812
618.164063	-87.947563
618.896484	-88.611382
619.628906	-86.878632
620.361328	-86.498138
621.093750	-87.235367
621.826172	-89.103165
622.558594	-86.905075
623.291016	-87.787117
624.023438	-88.280785
624.755859	-87.616814
625.488281	-86.847824
626.220703	-86.565338
626.953125	-86.514458
627.685547	-87.998726
628.417969	-89.543228
629.150391	-87.337059
629.882813	-87.004395
630.615234	-85.883820
631.347656	-86.570114
632.080078	-86.621193
632.812500	-85.049751
633.544922	-84.770416
634.277344	-85.220772
635.009766	-83.183075
635.742188	-83.394081
636.474609	-85.056335
637.207031	-84.403229
637.939453	-84.508438
638.671875	-84.900856
